"Package","Version"
"rockchalk","1.8.157"
"rpart","4.1.24"
"rpf","1.0.15"
"Rsamtools","2.26.0"
"rsconnect","1.7.0"
"RSQLite","2.4.6"
"rstatix","0.7.3"
"rstudioapi","0.18.0"
"rtracklayer","1.70.1"
"RUnit","0.4.33.1"
"rvest","1.0.5"
"S4Arrays","1.10.1"
"S4Vectors","0.48.0"
"S7","0.2.1"
"sass","0.4.10"
"scales","1.4.0"
"scatterpie","0.2.6"
"selectr","0.5-1"
"sem","3.1-16"
"semPlot","1.1.8"
"Seqinfo","1.0.0"
"shiny","1.13.0"
"shinycssloaders","1.1.0"
"sna","2.8"
"snow","0.4-4"
"snowflakeauth","0.2.2"
"sodium","1.4.0"
"sourcetools","0.1.7-1"
"SparseArray","1.10.8"
"SparseM","1.84-2"
"spatial","7.3-18"
"splines","4.5.2"
"StanHeaders","2.32.10"
"statnet.common","4.13.0"
"stats","4.5.2"
"stats4","4.5.2"
"stringi","1.8.7"
"stringr","1.6.0"
"SummarizedExperiment","1.40.0"
"survival","3.8-6"
"swagger","5.17.14.1"
"sys","3.4.3"
"systemfonts","1.3.1"
"tcltk","4.5.2"
"textshaping","1.0.4"
"tibble","3.3.1"
"tidydr","0.0.6"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidytree","0.4.7"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.58"
"tools","4.5.2"
"treeio","1.34.0"
"tweenr","2.0.3"
"txtq","0.2.4"
"tzdb","0.5.0"
"urca","1.3-4"
"utf8","1.2.6"
"utils","4.5.2"
"uuid","1.2-2"
"vctrs","0.7.1"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.7.0"
"webutils","1.2.2"
"withr","3.0.2"
"xfun","0.56"
"XML","3.99-0.20"
"xml2","1.5.2"
"xtable","1.8-8"
"xts","0.14.1"
"XVector","0.50.0"
"yaml","2.3.12"
"yulab.utils","0.2.4"
"zip","2.3.3"
"zoo","1.8-15"
